UserTags,TimeStamps,Tweets,Replies,Retweets,Likes
"Black Lives Matter
@Blklivesmatter
·
Jun 6",2024-06-06T20:40:03.000Z,1/2 Qualified immunity is used to shield police from accountability and drag out the legal process with unending appeals. It is torture for the families of those impacted by police violence.,24,47,108
"Black Lives Matter
@Blklivesmatter
·
Jun 6",2024-06-06T20:40:03.000Z,2/2 White supremacy focuses on protecting police -- not holding them accountable. We need to pull back the veil of racism and disrupt the vicious cycle of Black lives being stolen by those who claim to “protect and serve.”,7,7,24
"Black Lives Matter
@Blklivesmatter
·
Jun 5",2024-06-05T20:11:50.000Z,Join BLM Board Chair Cicley Gay on her reflective journey detailing the triumphs and challenges she's faced as a Black woman leading the largest Black abolitionist philanthropic organization ever to exist in the United States.,12,12,25
"Black Lives Matter
@Blklivesmatter
·
Jun 4",2024-06-04T20:30:26.000Z,"California officially declared the month of May as #BLMMonth! 

California is the first state EVER to do this. This is extremely significant because it brings the necessary attention to the movement and issues that families impacted by police violence still face.",37,27,106
"Black Lives Matter
@Blklivesmatter
·
Jun 3",2024-06-03T19:40:07.000Z,"This month and for eternity after that, Black Lives Matter celebrates the beauty of Pride and all of our LGBTQ+ Fam!",22,25,108
"Black Lives Matter
@Blklivesmatter
·
May 31",2024-05-30T23:23:58.000Z,1/3 Y'alls insurrectionist President just became the ONLY one ever to be a convicted felon.  ,35,35,230
"Black Lives Matter
@Blklivesmatter
·
May 19",2024-05-19T13:34:05.000Z,"Happy birthday, Brother Malcolm X! Malcolm X was revolutionary in his dedication to fighting for total Black liberation and freedom. Just as Brother Malcolm did, we continue to persevere. We continue to center Black lives, speak out, and take action against injustice.",25,124,350
"Black Lives Matter
@Blklivesmatter
·
May 17",2024-05-17T18:13:53.000Z,"A small, far from enough, but important first step toward acknowledging the pains of the past and rebuilding toward something better.",16,29,108
"Black Lives Matter
@Blklivesmatter
·
May 13",2024-05-13T17:23:00.000Z,3) Demand your representative prioritize legislation to remove all police from traffic incidents through our pre-written letter >>,25,9,42
"Black Lives Matter
@Blklivesmatter
·
May 13",2024-05-13T17:22:01.000Z,"2) If we defund the police and invest in community approaches to public safety, like having unarmed, trained professionals assist first in traffic incidents, we could avoid the loss of so many Black people at the hands of racist policing.",54,18,86
"Black Lives Matter
@Blklivesmatter
·
May 13",2024-05-13T17:21:00.000Z,"1) 10% of police killings start with traffic encounters, and police violence is only increasing.",23,15,60
"Black Lives Matter
@Blklivesmatter
·
May 2",2024-05-02T19:01:11.000Z,2) Here are two resources for Black people seeking guidance on addressing mental health InnoPsych and BEAM.,28,12,37
"Black Lives Matter
@Blklivesmatter
·
May 2",2024-05-02T19:00:16.000Z,1) May is Mental Health Awareness Month. We can only make our communities healthier by confronting white supremacy and systemic racism – the things that are at the root of many mental illnesses Black people everywhere are living with.,24,16,42
"Black Lives Matter
@Blklivesmatter
·
Apr 26",2024-04-26T13:46:05.000Z,"A year ago we launched our BLM x HBCU Student Ambassador Program, which supported 600+ HBCU students across 66 HBCUs! No new scholarships just yet, but check out the Congressional Black Caucus Foundation's “Bob Marley: One Love Social Impact Scholarship"" https://bit.ly/49yVnEh",24,14,99
"Black Lives Matter
@Blklivesmatter
·
Apr 19",2024-04-19T16:53:01.000Z,"3/3 Thank you to the Nonprofit Quarterly Magazine for the space to discuss all things Black women leadership. -- Board Chair 
@cicley_gay
 Read more --> 
@npquarterly",25,5,27
"Black Lives Matter
@Blklivesmatter
·
Apr 19",2024-04-19T16:52:12.000Z,"2/3 ""To this day, my fellow board members and I are still dealing with personal and professional tolls – from accusations of financial impropriety to attacks on our character, our competency, and our commitment to the cause and work of the global movement for Black lives.""",8,6,22
"Strong Black Lead
@strongblacklead
·
Mar 21",2024-03-21T19:00:23.000Z,12 hours until you see Regina King as SHIRLEY!,11,345,1.4K
"Ben Crump
@AttorneyCrump
·
Mar 22",2024-03-22T15:07:37.000Z,"All 6 members of the Rankin County (MS) “Goon Squad” have received sentences ranging from 10 to 40 years in prison for torturing 2 Black men. No amount of prison time will undo the pain these men endured, however I'm glad they are seeing some measure of accountability!",66,649,1.6K
"AFRICAN & BLACK HISTORY
@AfricanArchives
·
Mar 21",2024-03-21T14:30:44.000Z,Dr. Alexa Canady was the first black woman to become a neurosurgeon in 1981. She also co-invented a device to treat fluid buildup in the brain. #WomensHistoryMonth,102,5.7K,23K
"Smithsonian’s NMAAHC
@NMAAHC
·
Mar 21",2024-03-21T12:00:23.000Z,"Ida B. Wells was one of our nation’s foremost critics of racial injustice through her journalistic and philanthropic endeavors. 

She co-founded the Alpha Suffrage Club in Chicago in 1913 to educate Black women on how to cultivate Black candidates and ensure their votes. #WMH",11,460,1K
"NAACP
@NAACP
·
Mar 20",2024-03-20T19:00:32.000Z,We’ll say it again - the anti-Black agenda is spreading like a cancer throughout our nation. These assaults on Black education and equity must be stopped.,128,398,884
"Black Lives Matter
@Blklivesmatter
·
Mar 21",2024-03-21T18:33:12.000Z,"""6 Mississippi officers, known as the ""Goon Squad', sentenced for assaulting and torturing 2 Black men"" is a headline you'd expect to see out of the Jim Crow South.

BUT NO. This type of grotesque, dehumanizing, and sick behavior is still happening in 2024! That is exactly why we",17,24,105
"Black Lives Matter
@Blklivesmatter
·
Mar 21",2024-03-21T17:50:08.000Z,"On this #WorldWaterDay, it is crucial to recognize the inseparable link between water justice and the broader fight for Black liberation. 

Addressing environmental racism is the first step toward dismantling oppressive systems and advancing the cause of justice for all!",12,24,50
"Black Lives Matter
@Blklivesmatter
·
Mar 20",2024-03-20T20:31:05.000Z,"Assata Shakur is a radical thinker and organizer who embodies courage and resilience in the face of adversity. 

A former member of the BPP and the BLA, she endured persecution and imprisonment for her activism yet remained steadfast in her dedication to liberation. 

#WHM",19,36,158
"ESSENCE
@Essence
·
Mar 13",2024-03-13T20:00:00.000Z,Spelman College will become the first HBCU to offer a cosmetic chemistry concentration for students in STEM.,5,286,831
"AFRICAN & BLACK HISTORY
@AfricanArchives
·
Mar 14",2024-03-14T14:09:51.000Z,"On this day in 1977, Civil rights leader Fannie Lou Hamer died in Mississippi. Rest in Power!

—Fannie Lou Hamer was a voting rights activist and civil rights leader. She was instrumental in organizing Mississippi Freedom Summer
for the Student Nonviolent Coordinating Committee",89,2K,6K
"Ben Crump
@AttorneyCrump
·
Mar 14",2024-03-14T14:16:01.000Z,"Starting in July, Sacramento County (CA) will provide a guaranteed basic income to help Black & Native American families in need. Cities around the nation have implemented similar programs to address racial disparities in issues such as homelessness. ",64,135,339
"NAACP
@NAACP
·
Mar 14",2024-03-13T21:57:45.000Z,"As part of the 55th #NAACPImageAwards, we celebrated the global impact and significance of Black creatives including artists, designers, filmmakers, influencers, and entrepreneurs during the International Entertainment Summit at NeueHouse in Los Angeles, CA.",19,35,88
"Black Lives Matter
@Blklivesmatter
·
Mar 13",2024-03-13T14:42:06.000Z,"It's been 4 years since Breonna Taylor's life was stolen by Louisville Metro Police. And to this day no officers have been held accountable for her murder.

We love you, Breonna. You should be alive today. We will continue to honor you through our revolutionary movement. ",149,274,610
"People's City Council - Los Angeles
@PplsCityCouncil
·
Mar 12",2024-03-11T21:40:17.000Z,"SATURDAY - A San Bernardino county sheriff’s department deputy shot and killed Ryan Gainer, a 15-year-old boy who was holding a gardening tool 

JUSTICE FOR RYAN GAINER",135,3.8K,6.3K
"Okayplayer
@okayplayer
·
Mar 12",2024-03-12T17:31:11.000Z,"Beyoncé has officially announced Act II! 

‘COWBOY CARTER’ drops March 29th ",4,23,81
"Wilson - BFTV
@WMorales_BFTV
·
Mar 11",2024-03-10T23:35:13.000Z,"With her Oscar win for Best Supporting Actress Actress, Da'Vine Joy Randolph is the 10th Black actress to win in this category, joining Ariana DeBose, Regina King, Viola Davis, Lupita Nyong’o, Octavia Spencer, Mo'Nique, Jennifer Hudson, Whoopi Goldberg and Hattie McDaniel",39,1.3K,5.6K
"The Root
@TheRoot
·
Mar 11",2024-03-11T03:28:34.000Z,Former Root Staff Writer Cord Jefferson Wins Oscar For 'American Fiction' http://dlvr.it/T3v16c,8,191,1.7K
"Ben Crump
@AttorneyCrump
·
Mar 10",2024-03-10T18:18:00.000Z,"GOP lawmakers in West Virginia rejected the CROWN Act, a bill aiming to ban discrimination against Black hairstyles! Although advocates pointed to real stories of Black students being discriminated against, lawmakers STILL rejected the bill! Our Black students need protections!",81,469,972
"Samuel Sinyangwe
@samswey
·
Mar 8",2024-03-07T22:03:01.000Z,"Calling for even more aggressive policing at a time when the police are killing people at record numbers is a major red flag for psychopathic, unhinged and murderous tendencies.",23,224,721
"The Black Caucus
@TheBlackCaucus
·
Mar 8",2024-03-07T22:12:06.000Z,The CBC is calling for the Barbers Hill Independent School District to end this discriminatory farce and immediately allow Darryl to return to the classroom and receive his education. #SOTU2024,61,657,2.3K
"Black Lives Matter
@Blklivesmatter
·
Mar 8",2024-03-08T04:01:49.000Z,Yet THOUSANDS of people are locked up right now in federal prison for marijuana and YOU have the power to release them.,43,49,296
"ColorOfChange
@ColorOfChange
·
Mar 8",2024-03-08T03:32:46.000Z,"89% of Black voters believe rising student loan debt is a national crisis. 

The government owns 90% of student debt, Biden has the power to avert this crisis and make education a step to success, not a lifetime debt.

Cancel student loan debt now. #SOTU2024",21,39,117
"NAACP
@NAACP
·
Mar 8",2024-03-08T03:36:49.000Z,"We see a future with access to free and fair elections, police reform, affordable housing and healthcare, good jobs and quality education. And we will vote this November to make sure we get there. #NAACPxSOTU",7,31,84
"Black Lives Matter
@Blklivesmatter
·
Mar 8",2024-03-08T03:37:39.000Z,"The unwavering support of Black communities cannot be taken for granted. It must be earned through actions that reflect our values and address our needs. 

We demand more than promises; we seek evidence of commitment to justice and equality. #StateOfTheUnion",12,7,38
"Legal Defense Fund
@NAACP_LDF
·
Mar 8",2024-03-08T03:17:08.000Z,"We owe a great debt to the civil rights leaders and demonstrators in Selma, Alabama who put their lives on the line to secure the right to vote. It is because of their fierce courage and determination that the Voting Rights Act of 1965 was passed. #SOTU

https://naacpldf.org/ldf-at-selma/",5,43,94
"Black Lives Matter
@Blklivesmatter
·
Mar 8",2024-03-08T03:31:39.000Z,The administration's commitment to police reform falls dangerously short of addressing the systemic racism and violence perpetrated by law enforcement. #StateOfTheUnion,5,4,19
"Black Lives Matter
@Blklivesmatter
·
Mar 8",2024-03-08T03:30:00.000Z,"Four years after the largest and most diverse global protests in history, where the calls from the streets were literally “defund the police and invest in our communities,” Joe Biden is still saying ""Invest in more community police officers"". 

Make it make sense. #SOTU",6,6,35
"Black Lives Matter
@Blklivesmatter
·
Mar 8",2024-03-08T03:24:55.000Z,"Talk is cheap without concrete action. 

The administration's inaction on voting rights is a betrayal of Black communities. We demand laws that dismantle voter suppression in all its forms. #StateOfTheUnion",12,8,36
"NAACP
@NAACP
·
Mar 8",2024-03-08T03:19:48.000Z,"It’s time to do more than talk - pass the John Lewis Voting Rights Advancement Act, the Equality Act, and the Pro Act.
#NAACPxSOTU",13,87,167
"Black Lives Matter
@Blklivesmatter
·
Mar 8",2024-03-08T03:14:27.000Z,"""John Lewis was a great friend to many of us here. But if you truly want to honor him and all the heroes who marched with him, then it’s time for more than just talk.

Pass the Freedom to Vote Act and the John Lewis Voting Rights Act!"" #SOTU",4,27,85
"Black Lives Matter
@Blklivesmatter
·
Mar 8",2024-03-08T03:11:27.000Z,"Immigration policy must ensure the protection and dignity of all people, including those from Black diaspora communities. 

We advocate for policies that acknowledge the nuanced experiences of Black immigrants and offer pathways to citizenship without fear. #SOTU",7,6,27
"Black Lives Matter
@Blklivesmatter
·
Mar 8",2024-03-08T03:06:01.000Z,"""Let’s continue increasing Pell Grants for working- and middle-class families and increase our record investments in HBCUs and Hispanic and Minority-serving Institutions."" #SOTU",,11,25
"NAACP
@NAACP
·
Mar 8",2024-03-08T02:55:39.000Z,"Lower prescription costs.  
End Medicaid terminations.  Affordable healthcare for all.  #NAACPxSOTU",6,16,47
"Black Lives Matter
@Blklivesmatter
·
Mar 8",2024-03-08T03:02:16.000Z,We can’t talk about educating our children without committing to ending the assault on Black history!  #SOTU,2,7,27
"NAACP
@NAACP
·
Mar 8",2024-03-08T02:54:11.000Z,"The removal of lead pipes is a first step, but in 2024, every American should have access to clean drinking water. Period. 
#NAACPxSOTU",8,40,172
"Black Lives Matter
@Blklivesmatter
·
Mar 8",2024-03-08T03:00:39.000Z,"Biden’s proposed economic measures are mere band-aids on the gaping wounds of racial economic injustice. 
We demand systemic economic transformation. #SOTU",4,1,16
"Black Lives Matter
@Blklivesmatter
·
Mar 8",2024-03-08T02:55:25.000Z,"Education is a cornerstone for opportunity. Yet, systemic inequalities continue to hinder access for many in the Black community. 

We seek immediate action to transform educational systems in order to guarantee equitable access. It is time to dismantle barriers to Black success.",4,6,17
"Black Lives Matter
@Blklivesmatter
·
Mar 8",2024-03-08T02:54:38.000Z,Economic policies must move beyond surface-level solutions to address the deep-rooted inequalities that disproportionately impact Black Americans. It's time for bold measures that ensure economic justice and address the racial wealth gap.,3,5,19
"Black Lives Matter
@Blklivesmatter
·
Mar 8",2024-03-08T02:53:51.000Z," “The simple truth is, you can’t only love your country when you win.” #SOTU

*mic drop*",4,11,59
"Black Lives Matter
@Blklivesmatter
·
Mar 8",2024-03-08T02:52:56.000Z,"We call for an end to laws and practices that restrict abortion access and fertility treatments. Access to abortion is health care, access to safe abortion is equity and access to safe abortion is racial justice. #SOTU",15,14,39
"NAACP
@NAACP
·
Mar 8",2024-03-08T02:43:35.000Z,"There’s still work to be done to close the Black wealth gap. 
https://brookings.edu/articles/black-wealth-is-increasing-but-so-is-the-racial-wealth-gap/… 
#NAACPxSOTU",15,16,24
"Black Lives Matter
@Blklivesmatter
·
Mar 8",2024-03-08T02:51:38.000Z,"Access to healthcare, including reproductive healthcare, is a fundamental right. We will settle for nothing less than a system that ensures this right universally, without discrimination.",3,4,21
"NAACP
@NAACP
·
Mar 8",2024-03-08T02:39:19.000Z,We know about the power of women. The electoral power of Black women resulted in many of the wins - and the representation - we have today. #NAACPxSOTU,7,54,157
"NAACP
@NAACP
·
Mar 8",2024-03-08T02:35:14.000Z,"No one is above the law.
#NAACPxSOTU",14,28,99
"The Leadership Conference
@civilrightsorg
·
Mar 8",2024-03-08T02:02:51.000Z,Justice Ketanji Brown Jackson’s historic confirmation two years ago was a long overdue step towards a Supreme Court that better reflects the America it serves. #WomensHistoryMonth #SOTU,14,73,261
"National Urban League
@NatUrbanLeague
·
Mar 8",2024-03-08T02:03:00.000Z,"This will never get old. Our Supreme Court Justice is Black & woman.

#StateOfTheUnion #SOTU",118,343,2.1K
"Black Lives Matter
@Blklivesmatter
·
Mar 7",2024-03-07T18:15:19.000Z,"The brutality inflicted on Bloody Sunday serves as a haunting reminder of the systemic barriers that the Black community has faced in accessing our most basic democratic right. 

As we remember that day, we're calling on 
@POTUS
 to immediately act to pass the John R Lewis VRAA!",5,9,27
"AFRICAN & BLACK HISTORY
@AfricanArchives
·
Mar 6",2024-03-06T10:40:14.000Z,"67 years ago today, Ghana (Gold Coast) gained independence from the British. Kwame Nkrumah later became its first President.

Happy Indepedence Day Ghana!",37,1.6K,6.2K
"NAACP
@NAACP
·
Mar 7",2024-03-06T22:21:36.000Z,Black America will be watching. ,188,127,534
"Black Lives Matter
@Blklivesmatter
·
Mar 7",2024-03-06T22:47:05.000Z,"Sojourner Truth's commitment to speaking truth to power laid the groundwork for future generations of activists fighting for justice and equality. 

Her legacy reminds us of the importance of intersectional feminism and the ongoing struggle for liberation for all. #WHM ",3,16,52
"Black Voters Matter Fund
@BlackVotersMtr
·
Mar 6",2024-03-06T15:26:22.000Z,"On Super Tuesday in North Carolina, our ""We Fight Back"" tour engaged Black voters in Wilmington and Raleigh with community events and voter education, emphasizing ongoing engagement. 

Thank you to all Black voters who participated! #BlackVotersMatter ",3,14,49
"Black Lives Matter
@Blklivesmatter
·
Mar 5",2024-03-05T20:08:08.000Z,"Voters shouldn't have to choose between funding critical programs like mental health support counseling and building facilities for Black, unhoused communities. 

That's why we're calling on all California voters to vote NO on Prop 1!",9,6,36
"Black Lives Matter
@Blklivesmatter
·
Mar 1",2024-03-01T20:46:05.000Z,"In honor of Women's History Month, join us in reflecting on the remarkable legacy of Black women and femmes throughout history and recommitting to continuing the fight to end all inequities and close the gaps that Black women and femmes face.",20,22,60
"Black Lives Matter
@Blklivesmatter
·
Feb 29",2024-02-29T19:25:48.000Z,"Our right to vote has always been a cornerstone of our democracy. 

The John Lewis Voting Rights Advancement Act is a crucial step in restoring and strengthening the Voting Rights Act, ensuring equal access to the ballot for Black voters.",14,13,36
"Black Lives Matter
@Blklivesmatter
·
Feb 29",2024-02-29T19:22:43.000Z,The John Lewis Voting Rights Advancement Act addresses the devastating harm caused by voter suppression laws and dangerous SCOTUS rulings by tackling the surge in restrictive voting laws and safeguarding our freedom to vote.,6,9,39
"NAACP
@NAACP
·
Feb 29",2024-02-29T18:18:55.000Z,"We’re proud to support 
@SenatorWarnock
’s reintroduction of the John Lewis #VotingRights Advancement Act. While we remain unwavering in our efforts to litigate, agitate, and advocate, we can't do this alone. Federal action must be swift and decisive.",21,156,333
"Black Lives Matter
@Blklivesmatter
·
Feb 29",2024-02-29T18:05:07.000Z,"Radically imagining Black Futures is a crucial step in building a world where all Black people are self-determined, liberated, and free. From Black love to Black art, from Black intellectualism to Black organizing – This is a YEAR to us, our history, and our futures.",7,10,26
"The Martin Luther King, Jr. Center
@TheKingCenter
·
Feb 28",2024-02-28T14:00:16.000Z,"Jeffrey Wright: Stage and Screen Actor. Jeffrey is a brilliant actor whose stage and screen brilliance demonstrates that #BlackHistoryIsNow. #BHM #BlackHistoryMonth #ShiftTheCulture

More about #JeffreyWright:  https://thekingcenter.pulse.ly/w9dhpuznoy",3,35,106
"Black Lives Matter
@Blklivesmatter
·
Feb 23",2024-02-23T18:29:10.000Z,"It's been 4 years since Ahmaud Arbery's life was stolen while out for a neighborhood run near Brunswick in Glynn County, Georgia. 4 years since two white supremacists with ties to the police decided that a Black man running was a threat.",12,36,111
"Black Lives Matter
@Blklivesmatter
·
Feb 23",2024-02-23T14:53:03.000Z,"""New York Attorney General Letitia James says the Saratoga Springs Police Department, along with a top city official and the then-mayor, unconstitutionally retaliated against Black Lives Matter protesters.""",11,27,63
"Equal Justice Initiative
@eji_org
·
Feb 23",2024-02-23T14:00:02.000Z,"On this day in 2020, two white men killed Ahmaud Arbery, a young unarmed Black man out jogging. Local officials lied and did not hold the men accountable for months, until a video was released.",37,966,1.6K
"Black Lives Matter
@Blklivesmatter
·
Feb 8",2024-02-08T16:49:57.000Z,"We've all heard someone say ""They gave us February because it's the shortest month in the year"" -- some of us may have even said it ourselves but did you know the real history about why February is Black History Month?",70,19,43
"NAACP
@NAACP
·
Feb 7",2024-02-07T16:41:47.000Z,"Sandra Bland would have been 37 today.

We'll continue to say her name and fight for justice against police brutality. Black people deserve to grow old.

Sending love to her loved ones. ",216,1.1K,3.8K
"Black Lives Matter
@Blklivesmatter
·
Feb 6",2024-02-06T18:24:29.000Z,Facts are facts and more police DO NOT make people safer.,61,9,72
"NAACP
@NAACP
·
Feb 5",2024-02-05T16:15:47.000Z,"Keep showing up and tune in to the 
@naacpimageaward
 where we always get it right for the culture and give credit where it’s due. 
#ForCultureForCommunity",59,129,414
"Black Lives Matter
@Blklivesmatter
·
Feb 5",2024-02-05T17:25:14.000Z,"Today is Trayvon Martin's 29th birthday. He should be celebrating the last year of his 20s with his beloved family and friends.

[a thread ]",93,109,415
"NAACP
@NAACP
·
Jan 23",2024-01-22T21:55:05.000Z,"#RestinPower to Dexter King, civil rights activist and son of Dr. Martin Luther King Jr., who led with litigation and scholarship. His contributions to the world remind us to commit to non-violence to gain cultural and societal transformation.

: https://bit.ly/3StAdBV",41,336,1.1K
"Black Lives Matter
@Blklivesmatter
·
Jan 22",2024-01-21T21:40:36.000Z,"From his pro-slavery comments to his extreme and racist agenda -- DeSantis'  had no business trying to be president in the first place. 

We couldn't be happier that he's decided to pack his bags to return to Florida where he belongs. BYE BYE, RON ",89,33,105
"Black Lives Matter
@Blklivesmatter
·
Jan 19",2024-01-19T15:34:51.000Z,This week our feeds were flooded with politicians who posted the same old generic MLK quotes -- and we call BS!,14,9,34
